# k  E(k)
  1.165685E+00   1.031613E-19
  2.289014E+00   2.880414E-19
  3.279211E+00   1.462512E-19
  4.220481E+00   5.913139E-19
  5.313060E+00   5.669496E-19
  6.319715E+00   1.030323E-18
  7.323815E+00   9.035508E-19
  8.372961E+00   1.456209E-18
  9.374331E+00   1.219121E-18
  1.036583E+01   1.956055E-18
  1.133127E+01   1.146042E-18
  1.231775E+01   1.411564E-18
  1.338002E+01   2.586901E-18
  1.440681E+01   2.870847E-18
  1.538017E+01   2.815190E-18
  1.635360E+01   1.947359E-18
  1.735645E+01   2.511584E-18
  1.840444E+01   2.850186E-18
  1.941338E+01   2.797261E-18
  2.038168E+01   2.287794E-18
  2.142060E+01   2.926048E-18
  2.241571E+01   2.750947E-18
  2.338104E+01   2.885069E-18
  2.436040E+01   2.777780E-18
  2.538618E+01   4.436361E-18
  2.644280E+01   3.275752E-18
  2.743319E+01   3.486099E-18
  2.838762E+01   2.777394E-18
  2.938585E+01   4.776198E-18
  3.038908E+01   4.115189E-18
  3.141805E+01   5.461462E-18
  3.242466E+01   1.520185E-03
  3.342107E+01   9.685333E-04
  3.443713E+01   6.830001E-04
  3.542540E+01   4.537098E-04
  3.640865E+01   4.125356E-04
  3.739494E+01   3.398181E-04
  3.842231E+01   4.390090E-04
  3.943963E+01   3.984981E-04
  4.040461E+01   3.441249E-04
  4.140158E+01   3.211167E-04
  4.241545E+01   3.551399E-04
  4.344194E+01   3.044787E-04
  4.445512E+01   2.479726E-04
  4.543063E+01   2.095122E-04
  4.641442E+01   2.424106E-04
  4.740985E+01   1.570720E-04
  4.841659E+01   1.674004E-04
  4.941507E+01   1.839252E-04
  5.044505E+01   1.760126E-04
  5.146299E+01   1.397255E-04
  5.243955E+01   1.169075E-04
  5.342770E+01   9.614764E-05
  5.441129E+01   7.993149E-05
  5.543572E+01   7.831221E-05
  5.644685E+01   5.372135E-05
  5.743923E+01   4.256000E-05
  5.842750E+01   3.560785E-05
  5.941988E+01   2.785430E-05
  6.043083E+01   2.063607E-05
  6.144455E+01   1.245269E-05
  6.245348E+01   6.527897E-06
  6.344790E+01   2.415424E-06
  6.442937E+01   1.195311E-06
  6.543698E+01   1.281306E-06
  6.643623E+01   9.164926E-07
  6.742580E+01   7.916262E-07
  6.844382E+01   7.602810E-07
  6.944740E+01   6.435540E-07
  7.042945E+01   6.787962E-07
  7.141088E+01   4.879310E-07
  7.242528E+01   4.318769E-07
  7.344481E+01   3.667949E-07
  7.444984E+01   3.073098E-07
  7.544339E+01   2.816023E-07
  7.644711E+01   2.646695E-07
  7.745688E+01   1.907766E-07
  7.844366E+01   1.540196E-07
  7.943242E+01   1.217312E-07
  8.044074E+01   1.041216E-07
  8.144175E+01   8.863127E-08
  8.244871E+01   6.852109E-08
  8.344279E+01   4.941719E-08
  8.443681E+01   4.106951E-08
  8.544629E+01   2.930615E-08
  8.646054E+01   2.185059E-08
  8.745992E+01   1.583735E-08
  8.843319E+01   8.816792E-09
  8.944520E+01   6.080903E-09
  9.045674E+01   3.775626E-09
  9.144956E+01   2.363851E-09
  9.244672E+01   1.072770E-09
  9.344540E+01   3.761776E-10
  9.445312E+01   7.374357E-11
  9.544653E+01   3.802877E-12
  9.643056E+01   1.493965E-14
  9.744074E+01   1.135768E-14
  9.844855E+01   1.347480E-14
  9.945263E+01   1.514162E-14
  1.004490E+02   1.205969E-14
  1.014573E+02   1.224117E-14
  1.024713E+02   1.368515E-14
  1.034553E+02   1.348471E-14
  1.044457E+02   1.519649E-14
  1.054453E+02   1.300437E-14
  1.064520E+02   1.155879E-14
  1.074656E+02   1.114143E-14
  1.084549E+02   1.245013E-14
  1.094363E+02   1.215120E-14
  1.104336E+02   1.431110E-14
  1.114408E+02   1.666832E-14
  1.124485E+02   2.273276E-14
  1.134481E+02   1.770961E-14
  1.144615E+02   1.637179E-14
  1.154770E+02   1.679160E-14
  1.164576E+02   1.550980E-14
  1.174494E+02   1.466544E-14
  1.184551E+02   1.538740E-14
  1.194589E+02   1.417507E-14
  1.204633E+02   1.625808E-14
  1.214373E+02   1.502563E-14
  1.224281E+02   1.842850E-14
  1.234597E+02   2.025937E-14
  1.244665E+02   2.014055E-14
  1.254651E+02   2.329493E-14
  1.264479E+02   2.810937E-14
  1.274401E+02   2.463661E-14
