# k  E(k)
  1.165685E+00   5.767932E-20
  2.289014E+00   1.568852E-19
  3.279211E+00   2.024467E-19
  4.220481E+00   2.507054E-19
  5.313060E+00   5.645810E-19
  6.319715E+00   4.729319E-19
  7.323815E+00   5.393523E-19
  8.372961E+00   8.987828E-19
  9.374331E+00   8.170193E-19
  1.036583E+01   6.536604E-19
  1.133127E+01   6.847331E-19
  1.231775E+01   1.096992E-18
  1.338002E+01   1.132848E-18
  1.440681E+01   1.266008E-18
  1.538017E+01   1.368706E-18
  1.635360E+01   1.377904E-18
  1.735645E+01   1.533665E-18
  1.840444E+01   1.606622E-18
  1.941338E+01   1.383201E-18
  2.038168E+01   1.212416E-18
  2.142060E+01   1.603457E-18
  2.241571E+01   1.418857E-18
  2.338104E+01   1.797102E-18
  2.436040E+01   1.844473E-18
  2.538618E+01   1.979746E-18
  2.644280E+01   2.558206E-18
  2.743319E+01   1.706719E-18
  2.838762E+01   2.416723E-18
  2.938585E+01   2.378080E-18
  3.038908E+01   2.008707E-18
  3.141805E+01   2.277345E-18
  3.242466E+01   3.800462E-04
  3.342107E+01   2.421333E-04
  3.443713E+01   1.707501E-04
  3.542540E+01   1.134275E-04
  3.640865E+01   1.031339E-04
  3.739494E+01   8.495453E-05
  3.842231E+01   1.097523E-04
  3.943963E+01   9.962454E-05
  4.040461E+01   8.603124E-05
  4.140158E+01   8.027919E-05
  4.241545E+01   8.878497E-05
  4.344194E+01   7.611969E-05
  4.445512E+01   6.199315E-05
  4.543063E+01   5.237806E-05
  4.641442E+01   6.060265E-05
  4.740985E+01   3.926798E-05
  4.841659E+01   4.185009E-05
  4.941507E+01   4.598129E-05
  5.044505E+01   4.400316E-05
  5.146299E+01   3.493137E-05
  5.243955E+01   2.922689E-05
  5.342770E+01   2.403692E-05
  5.441129E+01   1.998287E-05
  5.543572E+01   1.957805E-05
  5.644685E+01   1.343034E-05
  5.743923E+01   1.064000E-05
  5.842750E+01   8.901960E-06
  5.941988E+01   6.963576E-06
  6.043083E+01   5.159017E-06
  6.144455E+01   3.113173E-06
  6.245348E+01   1.631974E-06
  6.344790E+01   6.038562E-07
  6.442937E+01   2.988275E-07
  6.543698E+01   3.203263E-07
  6.643623E+01   2.291229E-07
  6.742580E+01   1.979065E-07
  6.844382E+01   1.900700E-07
  6.944740E+01   1.608884E-07
  7.042945E+01   1.696988E-07
  7.141088E+01   1.219827E-07
  7.242528E+01   1.079692E-07
  7.344481E+01   9.169848E-08
  7.444984E+01   7.682751E-08
  7.544339E+01   7.040066E-08
  7.644711E+01   6.616737E-08
  7.745688E+01   4.769426E-08
  7.844366E+01   3.850494E-08
  7.943242E+01   3.043279E-08
  8.044074E+01   2.603040E-08
  8.144175E+01   2.215781E-08
  8.244871E+01   1.713030E-08
  8.344279E+01   1.235428E-08
  8.443681E+01   1.026740E-08
  8.544629E+01   7.326545E-09
  8.646054E+01   5.462665E-09
  8.745992E+01   3.959317E-09
  8.843319E+01   2.204207E-09
  8.944520E+01   1.520218E-09
  9.045674E+01   9.439004E-10
  9.144956E+01   5.909714E-10
  9.244672E+01   2.681956E-10
  9.344540E+01   9.404514E-11
  9.445312E+01   1.843532E-11
  9.544653E+01   9.507860E-13
  9.643056E+01   3.731004E-15
  9.744074E+01   2.844742E-15
  9.844855E+01   3.351039E-15
  9.945263E+01   3.774881E-15
  1.004490E+02   3.020822E-15
  1.014573E+02   3.065588E-15
  1.024713E+02   3.398240E-15
  1.034553E+02   3.358499E-15
  1.044457E+02   3.806527E-15
  1.054453E+02   3.252661E-15
  1.064520E+02   2.879799E-15
  1.074656E+02   2.771022E-15
  1.084549E+02   3.089913E-15
  1.094363E+02   3.039824E-15
  1.104336E+02   3.557490E-15
  1.114408E+02   4.132922E-15
  1.124485E+02   5.691095E-15
  1.134481E+02   4.441194E-15
  1.144615E+02   4.101578E-15
  1.154770E+02   4.169436E-15
  1.164576E+02   3.886646E-15
  1.174494E+02   3.666145E-15
  1.184551E+02   3.853117E-15
  1.194589E+02   3.557034E-15
  1.204633E+02   4.076841E-15
  1.214373E+02   3.750285E-15
  1.224281E+02   4.609718E-15
  1.234597E+02   5.063917E-15
  1.244665E+02   5.050871E-15
  1.254651E+02   5.858187E-15
  1.264479E+02   7.056590E-15
  1.274401E+02   6.177801E-15
