# k  E(k)
  1.165685E+00   4.800254E-01
  2.289014E+00   1.566881E-01
  3.279211E+00   6.577773E-02
  4.220481E+00   4.291829E-02
  5.313060E+00   3.953593E-02
  6.319715E+00   2.239591E-02
  7.323815E+00   2.038049E-02
  8.372961E+00   1.635091E-02
  9.374331E+00   1.195100E-02
  1.036583E+01   1.127475E-02
  1.133127E+01   8.315355E-03
  1.231775E+01   8.336823E-03
  1.338002E+01   7.836363E-03
  1.440681E+01   6.199203E-03
  1.538017E+01   5.636022E-03
  1.635360E+01   4.758007E-03
  1.735645E+01   4.955693E-03
  1.840444E+01   4.347417E-03
  1.941338E+01   3.752700E-03
  2.038168E+01   3.409920E-03
  2.142060E+01   3.486442E-03
  2.241571E+01   2.939038E-03
  2.338104E+01   2.697008E-03
  2.436040E+01   2.618515E-03
  2.538618E+01   2.588050E-03
  2.644280E+01   2.446267E-03
  2.743319E+01   2.059897E-03
  2.838762E+01   1.919195E-03
  2.938585E+01   2.020686E-03
  3.038908E+01   1.789904E-03
  3.141805E+01   1.831316E-03
  3.242466E+01   4.871087E-05
  3.342107E+01   9.685333E-06
  3.443713E+01   6.829995E-06
  3.542540E+01   4.537101E-06
  3.640865E+01   4.125352E-06
  3.739494E+01   3.398179E-06
  3.842231E+01   4.390086E-06
  3.943963E+01   3.984972E-06
  4.040461E+01   3.441244E-06
  4.140158E+01   3.211172E-06
  4.241545E+01   3.551397E-06
  4.344194E+01   3.044789E-06
  4.445512E+01   2.479725E-06
  4.543063E+01   2.095125E-06
  4.641442E+01   2.424099E-06
  4.740985E+01   1.570713E-06
  4.841659E+01   1.674003E-06
  4.941507E+01   1.839254E-06
  5.044505E+01   1.760124E-06
  5.146299E+01   1.397254E-06
  5.243955E+01   1.169073E-06
  5.342770E+01   9.614765E-07
  5.441129E+01   7.993154E-07
  5.543572E+01   7.831217E-07
  5.644685E+01   5.372135E-07
  5.743923E+01   4.256003E-07
  5.842750E+01   3.560781E-07
  5.941988E+01   2.785436E-07
  6.043083E+01   2.063613E-07
  6.144455E+01   1.245260E-07
  6.245348E+01   6.527928E-08
  6.344790E+01   2.415437E-08
  6.442937E+01   1.195310E-08
  6.543698E+01   1.281300E-08
  6.643623E+01   9.164921E-09
  6.742580E+01   7.916555E-09
  6.844382E+01   7.602969E-09
  6.944740E+01   6.435520E-09
  7.042945E+01   6.787822E-09
  7.141088E+01   4.879311E-09
  7.242528E+01   4.318804E-09
  7.344481E+01   3.667882E-09
  7.444984E+01   3.073050E-09
  7.544339E+01   2.815986E-09
  7.644711E+01   2.646777E-09
  7.745688E+01   1.907779E-09
  7.844366E+01   1.540343E-09
  7.943242E+01   1.217059E-09
  8.044074E+01   1.041201E-09
  8.144175E+01   8.863597E-10
  8.244871E+01   6.851873E-10
  8.344279E+01   4.941753E-10
  8.443681E+01   4.106656E-10
  8.544629E+01   2.930675E-10
  8.646054E+01   2.185276E-10
  8.745992E+01   1.583714E-10
  8.843319E+01   8.817146E-11
  8.944520E+01   6.080400E-11
  9.045674E+01   3.774277E-11
  9.144956E+01   2.363325E-11
  9.244672E+01   1.072736E-11
  9.344540E+01   3.764142E-12
  9.445312E+01   7.365506E-13
  9.544653E+01   3.977965E-14
  9.643056E+01   3.986197E-16
  9.744074E+01   1.489118E-15
  9.844855E+01   4.606076E-16
  9.945263E+01   4.002562E-16
  1.004490E+02   3.499284E-16
  1.014573E+02   3.022545E-16
  1.024713E+02   3.043080E-16
  1.034553E+02   3.570992E-16
  1.044457E+02   3.924323E-16
  1.054453E+02   3.553846E-16
  1.064520E+02   3.114235E-16
  1.074656E+02   3.194286E-16
  1.084549E+02   2.531491E-16
  1.094363E+02   3.209657E-16
  1.104336E+02   3.040636E-16
  1.114408E+02   8.999511E-16
  1.124485E+02   3.977072E-16
  1.134481E+02   4.446079E-16
  1.144615E+02   3.910197E-16
  1.154770E+02   3.857246E-16
  1.164576E+02   3.485333E-16
  1.174494E+02   3.962124E-16
  1.184551E+02   3.302605E-16
  1.194589E+02   3.598578E-16
  1.204633E+02   3.198344E-16
  1.214373E+02   3.746500E-16
  1.224281E+02   4.625460E-16
  1.234597E+02   3.602488E-16
  1.244665E+02   4.370012E-16
  1.254651E+02   5.304588E-16
  1.264479E+02   5.951041E-16
  1.274401E+02   2.483070E-15
