# k  E(k)
  1.165685E+00   4.800254E-01
  2.289014E+00   1.566881E-01
  3.279211E+00   6.577773E-02
  4.220481E+00   4.291829E-02
  5.313060E+00   3.953593E-02
  6.319715E+00   2.239591E-02
  7.323815E+00   2.038049E-02
  8.372961E+00   1.635090E-02
  9.374331E+00   1.195100E-02
  1.036583E+01   1.127475E-02
  1.133127E+01   8.315356E-03
  1.231775E+01   8.336823E-03
  1.338002E+01   7.836363E-03
  1.440681E+01   6.199203E-03
  1.538017E+01   5.636022E-03
  1.635360E+01   4.758007E-03
  1.735645E+01   4.955694E-03
  1.840444E+01   4.347417E-03
  1.941338E+01   3.752700E-03
  2.038168E+01   3.409920E-03
  2.142060E+01   3.486443E-03
  2.241571E+01   2.939038E-03
  2.338104E+01   2.697009E-03
  2.436040E+01   2.618515E-03
  2.538618E+01   2.588051E-03
  2.644280E+01   2.446267E-03
  2.743319E+01   2.059898E-03
  2.838762E+01   1.919195E-03
  2.938585E+01   2.020686E-03
  3.038908E+01   1.789904E-03
  3.141805E+01   1.831316E-03
  3.242466E+01   4.135552E-04
  3.342107E+01   2.421334E-04
  3.443713E+01   1.707500E-04
  3.542540E+01   1.134275E-04
  3.640865E+01   1.031339E-04
  3.739494E+01   8.495454E-05
  3.842231E+01   1.097522E-04
  3.943963E+01   9.962451E-05
  4.040461E+01   8.603119E-05
  4.140158E+01   8.027921E-05
  4.241545E+01   8.878499E-05
  4.344194E+01   7.611968E-05
  4.445512E+01   6.199314E-05
  4.543063E+01   5.237806E-05
  4.641442E+01   6.060262E-05
  4.740985E+01   3.926794E-05
  4.841659E+01   4.185008E-05
  4.941507E+01   4.598127E-05
  5.044505E+01   4.400315E-05
  5.146299E+01   3.493136E-05
  5.243955E+01   2.922687E-05
  5.342770E+01   2.403691E-05
  5.441129E+01   1.998288E-05
  5.543572E+01   1.957804E-05
  5.644685E+01   1.343034E-05
  5.743923E+01   1.064000E-05
  5.842750E+01   8.901960E-06
  5.941988E+01   6.963581E-06
  6.043083E+01   5.159016E-06
  6.144455E+01   3.113169E-06
  6.245348E+01   1.631973E-06
  6.344790E+01   6.038553E-07
  6.442937E+01   2.988282E-07
  6.543698E+01   3.203254E-07
  6.643623E+01   2.291230E-07
  6.742580E+01   1.979076E-07
  6.844382E+01   1.900706E-07
  6.944740E+01   1.608885E-07
  7.042945E+01   1.696982E-07
  7.141088E+01   1.219827E-07
  7.242528E+01   1.079684E-07
  7.344481E+01   9.169813E-08
  7.444984E+01   7.682757E-08
  7.544339E+01   7.040045E-08
  7.644711E+01   6.616753E-08
  7.745688E+01   4.769424E-08
  7.844366E+01   3.850535E-08
  7.943242E+01   3.043157E-08
  8.044074E+01   2.603020E-08
  8.144175E+01   2.215788E-08
  8.244871E+01   1.713034E-08
  8.344279E+01   1.235415E-08
  8.443681E+01   1.026733E-08
  8.544629E+01   7.326605E-09
  8.646054E+01   5.462701E-09
  8.745992E+01   3.959357E-09
  8.843319E+01   2.204183E-09
  8.944520E+01   1.520218E-09
  9.045674E+01   9.438761E-10
  9.144956E+01   5.909325E-10
  9.244672E+01   2.681951E-10
  9.344540E+01   9.405986E-11
  9.445312E+01   1.841992E-11
  9.544653E+01   9.523634E-13
  9.643056E+01   4.273249E-15
  9.744074E+01   3.962314E-15
  9.844855E+01   3.430900E-15
  9.945263E+01   3.943843E-15
  1.004490E+02   3.504439E-15
  1.014573E+02   3.187457E-15
  1.024713E+02   3.406126E-15
  1.034553E+02   3.640698E-15
  1.044457E+02   3.920229E-15
  1.054453E+02   3.579323E-15
  1.064520E+02   3.116210E-15
  1.074656E+02   2.946669E-15
  1.084549E+02   3.101610E-15
  1.094363E+02   3.239150E-15
  1.104336E+02   3.523372E-15
  1.114408E+02   5.214558E-15
  1.124485E+02   6.283643E-15
  1.134481E+02   4.461813E-15
  1.144615E+02   4.075813E-15
  1.154770E+02   4.553695E-15
  1.164576E+02   4.215398E-15
  1.174494E+02   3.799760E-15
  1.184551E+02   3.955418E-15
  1.194589E+02   3.648406E-15
  1.204633E+02   4.400494E-15
  1.214373E+02   4.017818E-15
  1.224281E+02   4.900020E-15
  1.234597E+02   5.153033E-15
  1.244665E+02   5.129484E-15
  1.254651E+02   6.028190E-15
  1.264479E+02   7.071427E-15
  1.274401E+02   8.481766E-15
