# k  E(k)
  1.165685E+00   1.284343E-19
  2.289014E+00   2.683706E-19
  3.279211E+00   5.165859E-19
  4.220481E+00   2.736961E-19
  5.313060E+00   4.123955E-19
  6.319715E+00   4.204560E-19
  7.323815E+00   3.735873E-19
  8.372961E+00   5.558727E-19
  9.374331E+00   3.634934E-19
  1.036583E+01   7.790527E-19
  1.133127E+01   6.635225E-19
  1.231775E+01   7.618699E-19
  1.338002E+01   8.520387E-19
  1.440681E+01   8.234353E-19
  1.538017E+01   1.082919E-18
  1.635360E+01   1.074468E-18
  1.735645E+01   1.334432E-18
  1.840444E+01   1.204791E-18
  1.941338E+01   1.242530E-18
  2.038168E+01   1.482229E-18
  2.142060E+01   1.990760E-18
  2.241571E+01   1.815233E-18
  2.338104E+01   1.186039E-18
  2.436040E+01   1.515240E-18
  2.538618E+01   1.846471E-18
  2.644280E+01   2.103803E-18
  2.743319E+01   1.722496E-18
  2.838762E+01   1.560386E-18
  2.938585E+01   1.714841E-18
  3.038908E+01   1.811638E-18
  3.141805E+01   2.412088E-18
  3.242466E+01   1.368166E-04
  3.342107E+01   8.716804E-05
  3.443713E+01   6.147002E-05
  3.542540E+01   4.083389E-05
  3.640865E+01   3.712820E-05
  3.739494E+01   3.058363E-05
  3.842231E+01   3.951081E-05
  3.943963E+01   3.586483E-05
  4.040461E+01   3.097123E-05
  4.140158E+01   2.890051E-05
  4.241545E+01   3.196260E-05
  4.344194E+01   2.740309E-05
  4.445512E+01   2.231754E-05
  4.543063E+01   1.885610E-05
  4.641442E+01   2.181696E-05
  4.740985E+01   1.413648E-05
  4.841659E+01   1.506603E-05
  4.941507E+01   1.655326E-05
  5.044505E+01   1.584113E-05
  5.146299E+01   1.257529E-05
  5.243955E+01   1.052168E-05
  5.342770E+01   8.653289E-06
  5.441129E+01   7.193837E-06
  5.543572E+01   7.048103E-06
  5.644685E+01   4.834924E-06
  5.743923E+01   3.830401E-06
  5.842750E+01   3.204706E-06
  5.941988E+01   2.506888E-06
  6.043083E+01   1.857247E-06
  6.144455E+01   1.120743E-06
  6.245348E+01   5.875111E-07
  6.344790E+01   2.173883E-07
  6.442937E+01   1.075779E-07
  6.543698E+01   1.153174E-07
  6.643623E+01   8.248431E-08
  6.742580E+01   7.124632E-08
  6.844382E+01   6.842515E-08
  6.944740E+01   5.791988E-08
  7.042945E+01   6.109160E-08
  7.141088E+01   4.391382E-08
  7.242528E+01   3.886892E-08
  7.344481E+01   3.301149E-08
  7.444984E+01   2.765791E-08
  7.544339E+01   2.534428E-08
  7.644711E+01   2.382027E-08
  7.745688E+01   1.716987E-08
  7.844366E+01   1.386176E-08
  7.943242E+01   1.095584E-08
  8.044074E+01   9.370915E-09
  8.144175E+01   7.976809E-09
  8.244871E+01   6.166904E-09
  8.344279E+01   4.447563E-09
  8.443681E+01   3.696268E-09
  8.544629E+01   2.637551E-09
  8.646054E+01   1.966544E-09
  8.745992E+01   1.425362E-09
  8.843319E+01   7.935138E-10
  8.944520E+01   5.472840E-10
  9.045674E+01   3.397998E-10
  9.144956E+01   2.127465E-10
  9.244672E+01   9.655298E-11
  9.344540E+01   3.385600E-11
  9.445312E+01   6.636840E-12
  9.544653E+01   3.422488E-13
  9.643056E+01   1.356882E-15
  9.744074E+01   1.032973E-15
  9.844855E+01   1.207254E-15
  9.945263E+01   1.373315E-15
  1.004490E+02   1.087141E-15
  1.014573E+02   1.115168E-15
  1.024713E+02   1.229540E-15
  1.034553E+02   1.218862E-15
  1.044457E+02   1.386792E-15
  1.054453E+02   1.183608E-15
  1.064520E+02   1.056445E-15
  1.074656E+02   1.017183E-15
  1.084549E+02   1.122339E-15
  1.094363E+02   1.105761E-15
  1.104336E+02   1.297464E-15
  1.114408E+02   1.503074E-15
  1.124485E+02   2.054036E-15
  1.134481E+02   1.599450E-15
  1.144615E+02   1.473646E-15
  1.154770E+02   1.512148E-15
  1.164576E+02   1.410338E-15
  1.174494E+02   1.323544E-15
  1.184551E+02   1.387479E-15
  1.194589E+02   1.291315E-15
  1.204633E+02   1.477031E-15
  1.214373E+02   1.368170E-15
  1.224281E+02   1.662678E-15
  1.234597E+02   1.838904E-15
  1.244665E+02   1.819741E-15
  1.254651E+02   2.109040E-15
  1.264479E+02   2.550524E-15
  1.274401E+02   2.249524E-15
