# k  E(k)
  1.165685E+00   4.800254E-01
  2.289014E+00   1.566881E-01
  3.279211E+00   6.577772E-02
  4.220481E+00   4.291829E-02
  5.313060E+00   3.953593E-02
  6.319715E+00   2.239591E-02
  7.323815E+00   2.038049E-02
  8.372961E+00   1.635090E-02
  9.374331E+00   1.195100E-02
  1.036583E+01   1.127475E-02
  1.133127E+01   8.315356E-03
  1.231775E+01   8.336823E-03
  1.338002E+01   7.836363E-03
  1.440681E+01   6.199204E-03
  1.538017E+01   5.636022E-03
  1.635360E+01   4.758008E-03
  1.735645E+01   4.955693E-03
  1.840444E+01   4.347417E-03
  1.941338E+01   3.752700E-03
  2.038168E+01   3.409920E-03
  2.142060E+01   3.486443E-03
  2.241571E+01   2.939039E-03
  2.338104E+01   2.697009E-03
  2.436040E+01   2.618515E-03
  2.538618E+01   2.588050E-03
  2.644280E+01   2.446267E-03
  2.743319E+01   2.059898E-03
  2.838762E+01   1.919195E-03
  2.938585E+01   2.020686E-03
  3.038908E+01   1.789904E-03
  3.141805E+01   1.831316E-03
  3.242466E+01   1.703256E-04
  3.342107E+01   8.716798E-05
  3.443713E+01   6.147000E-05
  3.542540E+01   4.083390E-05
  3.640865E+01   3.712819E-05
  3.739494E+01   3.058363E-05
  3.842231E+01   3.951078E-05
  3.943963E+01   3.586481E-05
  4.040461E+01   3.097122E-05
  4.140158E+01   2.890051E-05
  4.241545E+01   3.196258E-05
  4.344194E+01   2.740310E-05
  4.445512E+01   2.231753E-05
  4.543063E+01   1.885610E-05
  4.641442E+01   2.181694E-05
  4.740985E+01   1.413646E-05
  4.841659E+01   1.506603E-05
  4.941507E+01   1.655327E-05
  5.044505E+01   1.584113E-05
  5.146299E+01   1.257529E-05
  5.243955E+01   1.052168E-05
  5.342770E+01   8.653290E-06
  5.441129E+01   7.193837E-06
  5.543572E+01   7.048103E-06
  5.644685E+01   4.834924E-06
  5.743923E+01   3.830403E-06
  5.842750E+01   3.204703E-06
  5.941988E+01   2.506889E-06
  6.043083E+01   1.857248E-06
  6.144455E+01   1.120741E-06
  6.245348E+01   5.875123E-07
  6.344790E+01   2.173895E-07
  6.442937E+01   1.075787E-07
  6.543698E+01   1.153170E-07
  6.643623E+01   8.248426E-08
  6.742580E+01   7.124710E-08
  6.844382E+01   6.842562E-08
  6.944740E+01   5.791998E-08
  7.042945E+01   6.109136E-08
  7.141088E+01   4.391345E-08
  7.242528E+01   3.886901E-08
  7.344481E+01   3.301134E-08
  7.444984E+01   2.765801E-08
  7.544339E+01   2.534421E-08
  7.644711E+01   2.382051E-08
  7.745688E+01   1.716990E-08
  7.844366E+01   1.386198E-08
  7.943242E+01   1.095499E-08
  8.044074E+01   9.370666E-09
  8.144175E+01   7.976928E-09
  8.244871E+01   6.166939E-09
  8.344279E+01   4.447533E-09
  8.443681E+01   3.696282E-09
  8.544629E+01   2.637631E-09
  8.646054E+01   1.966526E-09
  8.745992E+01   1.425426E-09
  8.843319E+01   7.935255E-10
  8.944520E+01   5.472630E-10
  9.045674E+01   3.397968E-10
  9.144956E+01   2.127237E-10
  9.244672E+01   9.655828E-11
  9.344540E+01   3.386325E-11
  9.445312E+01   6.631800E-12
  9.544653E+01   3.430759E-13
  9.643056E+01   1.605979E-15
  9.744074E+01   2.939697E-15
  9.844855E+01   1.435007E-15
  9.945263E+01   1.504862E-15
  1.004490E+02   1.460968E-15
  1.014573E+02   1.205117E-15
  1.024713E+02   1.411741E-15
  1.034553E+02   1.326829E-15
  1.044457E+02   1.702562E-15
  1.054453E+02   1.352788E-15
  1.064520E+02   1.222076E-15
  1.074656E+02   1.143252E-15
  1.084549E+02   1.169508E-15
  1.094363E+02   1.240941E-15
  1.104336E+02   1.343091E-15
  1.114408E+02   2.289931E-15
  1.124485E+02   2.177363E-15
  1.134481E+02   1.694417E-15
  1.144615E+02   1.656372E-15
  1.154770E+02   1.947842E-15
  1.164576E+02   1.669626E-15
  1.174494E+02   1.553401E-15
  1.184551E+02   1.518104E-15
  1.194589E+02   1.518290E-15
  1.204633E+02   1.647754E-15
  1.214373E+02   1.652261E-15
  1.224281E+02   1.915802E-15
  1.234597E+02   2.008028E-15
  1.244665E+02   1.918212E-15
  1.254651E+02   2.176334E-15
  1.264479E+02   2.503931E-15
  1.274401E+02   3.997636E-15
